com
Google,10.886000,93.946000,4516.509000, ,8.0,15.0,135.0, ,32.3544,104.153,388.636, ,4.12,4.91,23.93, 
Cloudflare,7.430000,90.152000,4013.691000, ,10.0,20.0,532.0, ,72.6327,167.571,466.956, ,5.02,5.85,8.79, 
Quad9,10.699000,155.188000,3532.515000, ,9.0,21.0,675.0, ,269.471,645.155,940.69, ,6.4,7.96,33.38, 
BlahDNSJapan,269.002000,661.697000,2656.729000, ,18.0,24.0,79.0, ,0,0,0, ,4.14,5.39,27.29, 
CleanBrowsing,19.067000,180.221000,4700.052000, ,262.0,287.0,1239.0, ,199.705,229.496,259.288, ,4.45,5.55,19.05, 
BlahDNSGermany,26.491000,160.925000,1002.210000, ,28.0,33.0,171.0, ,135.348,271.496,387.495, ,4.13,4.73,10.03, 
net
Google,7.920000,82.733000,4060.012000, ,7.0,15.0,116.0, ,75.4914,132.716,444.191, ,4.21,4.96,12.19, 
Cloudflare,10.728000,99.387000,4390.484000, ,10.0,21.0,1109.0, ,399.603,403.99,442.942, ,5.11,5.85,17.03, 
Quad9,9.505000,203.516000,3539.065000, ,11.0,20.0,193.0, ,237.334,485.408,885.116, ,6.55,8.46,36.27, 
BlahDNSJapan,274.218000,682.809000,3242.064000, ,18.0,24.0,377.0, ,0,0,0, ,4.01,5.2,15.29, 
CleanBrowsing,17.773000,96.264000,3040.517000, ,259.0,292.0,1838.0, ,261.632,376.773,481.887, ,4.32,5.18,10.65, 
BlahDNSGermany,26.320000,194.601000,3231.048000, ,26.0,42.0,641.0, ,150.73,216.628,386.125, ,4.04,4.73,14.83, 
au
Google,9.219000,218.321000,4767.240000, ,10.0,14.0,162.0, ,65.8591,236.357,651.782, ,4.23,5.01,7.85, 
Cloudflare,8.051000,245.464000,4544.993000, ,11.0,19.0,501.0, ,82.0089,388.897,925.791, ,5.15,5.94,35.71, 
Quad9,11.471000,341.921000,3977.985000, ,10.0,29.0,927.0, ,0,0,0, ,9.81,20.5,31.2, 
BlahDNSJapan,273.956000,983.868000,3455.153000, ,19.0,24.0,155.0, ,0,0,0, ,4.42,5.59,11.85, 
CleanBrowsing,19.797000,378.346000,3706.200000, ,262.0,282.0,1285.0, ,0,0,0, ,4.43,5.19,11.31, 
BlahDNSGermany,25.913000,445.772000,2328.546000, ,27.0,34.0,424.0, ,463.156,616.855,895.287, ,4.07,4.78,9.15, 
nl
Google,8.745000,35.713000,2033.598000, ,11.0,23.0,2421.0, ,74.5549,90.086,114.326, ,4.08,4.97,15.26, 
Cloudflare,17.537000,176.379000,2079.806000, ,11.0,29.0,8600.0, ,64.866,94.3785,275.85, ,4.99,5.72,12.38, 
Quad9,13.772000,243.925000,3347.103000, ,11.0,50.0,8600.0, ,72.8704,141.528,269.259, ,4.52,6.27,45.39, 
BlahDNSJapan,261.328000,1014.679000,4087.696000, ,18.0,37.0,4828.0, ,0,0,0, ,4.37,5.19,11.01, 
CleanBrowsing,20.674000,103.471000,1745.044000, ,37.0,502.0,3164.0, ,147.266,224.305,378.478, ,3.95,4.71,10.86, 
